city,lat,lng,population,density
Richardson,32.9716,-96.7093,115904,1602.8
West Palm Beach,26.7469,-80.132,115877,796.4
Temple,31.1068,-97.3891,115809,413.6
Burlington,44.4876,-73.2316,115682,1598.1
Richmond,37.9477,-122.3389,115677,1413.8
Westminster,39.8837,-105.0624,115535,1403.7
Pottstown,40.2508,-75.6445,115413,1801.2
Brandon,27.9367,-82.3,115330,1350.7
Rock Hill,34.9415,-81.0241,115292,721.9
Meridian,43.6116,-116.3977,115227,1168.8
Coeur d'Alene,47.704,-116.7936,114880,1234.6
Carlsbad,33.1246,-117.2834,114858,1169.5
Lowell,42.6389,-71.3217,114804,3157.7
Waterloo,42.4918,-92.3522,114594,424.2
North Charleston,32.9067,-80.0722,114542,566.3
Gilroy,37.0046,-121.5854,114461,1289.5
Downey,33.9379,-118.1311,114293,3462.0
Gresham,45.5021,-122.4413,114164,1816.5
Elgin,42.0383,-88.324,114156,1137.8
Utica,43.0962,-75.2261,112948,1385.0
Broken Arrow,36.038,-95.7806,112751,667.7
Costa Mesa,33.6667,-117.9135,112148,2759.3
Chico,39.7578,-121.8161,112132,1106.0
Sioux City,42.4959,-96.3901,111924,545.1
League City,29.4874,-95.1087,111847,793.9
Miami Gardens,25.9433,-80.2426,111706,2346.3
Pompano Beach,26.2428,-80.1312,111423,1787.3
San Buenaventura,34.2741,-119.2314,110572,1913.6
Everett,47.9525,-122.1669,110438,1289.4
El Centro,32.7865,-115.5595,110434,1415.5
Sugar Land,29.5935,-95.6358,110272,1131.2
El Monte,34.0739,-118.0291,110144,4602.2
Lewisville,33.0454,-96.9815,110077,1124.0
West Covina,34.0555,-117.9113,109396,2547.4
Temecula,33.4928,-117.1315,109376,1171.9
Bend,44.0563,-121.3095,109224,1114.3
Salisbury,38.3756,-75.5865,108982,920.1
Jacksonville,34.7289,-77.3941,108549,587.7
Inglewood,33.9566,-118.3444,108206,4654.5
Dearborn,42.3127,-83.213,107985,1502.1
Centennial,39.5926,-104.8673,107972,1446.3
Burbank,34.1879,-118.3235,107364,2305.8
Sparks,39.5736,-119.7161,106900,1088.7
Sandy Springs,33.9366,-84.3703,106605,1109.2
Bloomington,39.1637,-86.5257,106327,1406.4
Logan,41.7399,-111.8422,106319,1106.4
Kailua,21.392,-157.7396,106260,1882.8
El Cajon,32.8017,-116.9604,106043,2747.5
Hillsboro,45.5273,-122.936,105909,1619.6
South Fulton,33.6273,-84.58,105551,446.7
Renton,47.4784,-122.1918,105313,1673.0
Mandeville,30.3751,-90.0904,105097,681.3
San Mateo,37.5522,-122.3121,105087,3297.1
Columbia,39.2004,-76.859,105086,1274.5
Daly City,37.6862,-122.4685,104914,5418.5
Davie,26.0789,-80.287,104782,1168.4
Jurupa Valley,34.001,-117.4706,104684,958.9
Brockton,42.0821,-71.0242,104216,1732.8
Longmont,40.1686,-105.1005,104035,1284.8
Rialto,34.1175,-117.3892,103799,1659.6
San Germán,18.0827,-67.046,103747,1270.7
Eau Claire,44.8197,-91.4948,103586,807.5
Turlock,37.5053,-120.8588,103359,1671.5
Norwalk,33.9069,-118.0829,103330,4157.4
Highlands Ranch,39.5419,-104.9708,103238,1702.6
Allen,33.1088,-96.6735,102778,1521.5
Wichita Falls,33.9072,-98.5291,102563,561.1
Rio Rancho,35.2873,-106.6982,102403,366.0
Vacaville,38.3587,-121.9673,102256,1292.1
Spokane Valley,47.6626,-117.2346,102178,1016.2
Charlottesville,38.0375,-78.4855,102164,1779.4
Idaho Falls,43.4871,-112.0362,101326,940.0
Menifee,33.6909,-117.1849,101089,772.4
Lee's Summit,38.9171,-94.3816,100772,598.2
Quincy,42.2506,-71.0187,100544,2199.0
San Angelo,31.4424,-100.4504,100330,647.0
Lynn,42.4781,-70.9664,100233,3386.9
Holland,42.7677,-86.0984,100202,771.3
Federal Way,47.3091,-122.3358,99792,1676.5
Manteca,37.7927,-121.2264,99764,1463.6
Lafayette,39.9946,-105.0998,99475,1170.2
Santa Fe,35.6619,-105.9819,99439,624.0
Hesperia,34.3975,-117.3147,99287,505.5
La Crosse,43.8241,-91.2268,99227,917.0
Riverview,27.8227,-82.3023,98928,801.4
Kingsport,36.5224,-82.5454,98767,394.1
Edinburg,26.3196,-98.1597,98759,843.8
Vista,33.1896,-117.2386,98651,2073.0
Bowling Green,36.9716,-86.4378,98537,684.7
Carmel,39.965,-86.146,98137,779.7
Longview,32.5193,-94.7622,98075,568.4
Tracy,37.7269,-121.4523,98022,1349.6
Prescott Valley,34.598,-112.3185,97901,435.0
Beaverton,45.4779,-122.8168,97466,1940.8
Portsmouth,43.058,-70.7826,97455,528.0
Portsmouth,36.8468,-76.354,97454,1101.0
Fishers,39.9588,-85.9659,97154,1012.1
Orem,40.2981,-111.6994,96734,2030.5
Sandy,40.5709,-111.8506,96272,1532.6
Sunrise,26.1547,-80.2997,96220,2256.2
San Tan Valley,33.1786,-111.5629,96127,534.6
Compton,33.893,-118.2274,96083,3688.9
Arden-Arcade,38.6017,-121.3845,95909,2275.6
Hanford,36.3274,-119.6549,95459,1267.2
Boca Raton,26.3752,-80.108,95347,1307.0
Middletown,39.5033,-84.3659,95296,720.5
Livonia,42.3972,-83.3733,95294,1016.4
Carson,33.8374,-118.2559,95104,1883.1
Lawrence,38.9597,-95.2642,94745,1100.5
Slidell,30.2887,-89.7828,94498,713.2
Blacksburg,37.23,-80.4279,94398,868.4
San Marcos,33.135,-117.1743,94313,1512.3
Goodyear,33.2614,-112.3622,93651,168.6
Edmond,35.6689,-97.416,93522,425.8
Mayagüez,18.2003,-67.1397,93426,1101.4
Fall River,41.7136,-71.1015,93339,1044.6
South Gate,33.9447,-118.1926,93308,5063.5
Suffolk,36.6953,-76.6398,93268,88.4
Terre Haute,39.466,-87.3751,93247,673.9
Missoula,46.8751,-114.0214,92863,835.9
Santa Monica,34.0235,-118.481,92828,4205.3
Roswell,34.0391,-84.3513,92688,899.5
Vineland,39.4653,-74.9981,92364,335.4
Plantation,26.1259,-80.2617,92212,1675.1
Alafaya,28.528,-81.1868,92080,1152.6
Kirkland,47.697,-122.2057,91656,1976.4
Hoover,33.3763,-86.8068,91371,685.8
Westminster,33.7523,-117.9938,91267,3494.6
Lawton,34.6175,-98.4202,91247,443.5
San Leandro,37.7074,-122.1599,91176,2622.4
Auburn,32.6087,-85.4903,91047,414.4
Norwalk,41.1144,-73.4215,90821,1497.3
O'Fallon,38.785,-90.7175,90802,1133.4
